VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,source_file
1,2017-07-21 14:05:50,2017-07-21 14:12:03,N,1,82,56,2,0.8,6.0,0.0,0.5,0.0,2.0,,0.3,8.8,2,1,,green_tripdata_2017-07.parquet
1,2017-07-26 13:40:30,2017-07-26 14:11:56,N,1,82,117,2,13.2,38.0,0.0,0.5,0.0,2.16,,0.3,40.96,2,1,,green_tripdata_2017-07.parquet
1,2017-07-28 13:03:52,2017-07-28 13:19:28,N,1,82,92,2,3.8,14.5,0.0,0.5,0.0,3.0,,0.3,18.3,2,1,,green_tripdata_2017-07.parquet
1,2017-07-29 13:53:24,2017-07-29 14:13:00,N,1,82,129,2,2.3,14.0,0.0,0.5,0.0,2.0,,0.3,16.8,2,1,,green_tripdata_2017-07.parquet
1,2017-07-30 18:40:30,2017-07-30 18:50:48,N,1,82,226,2,2.4,10.5,0.0,0.5,0.0,2.0,,0.3,13.3,2,1,,green_tripdata_2017-07.parquet
1,2017-09-02 14:59:22,2017-09-02 15:15:43,N,1,82,7,2,4.2,16.0,0.0,0.5,0.0,2.0,,0.3,18.8,2,1,,green_tripdata_2017-09.parquet
1,2017-09-02 19:36:07,2017-09-02 19:51:38,N,1,82,179,2,5.3,17.0,0.0,0.5,0.0,0.5,,0.3,18.3,2,1,,green_tripdata_2017-09.parquet
1,2017-09-04 18:49:13,2017-09-04 19:35:31,N,1,82,201,2,12.0,42.5,0.0,0.5,0.0,2.16,,0.3,45.46,2,1,,green_tripdata_2017-09.parquet
1,2017-11-01 13:51:22,2017-11-01 14:13:09,N,1,82,37,2,4.5,18.0,0.0,0.5,0.0,2.0,,0.3,20.8,2,1,,green_tripdata_2017-11.parquet
2,2017-11-04 17:25:19,2017-11-04 18:14:45,N,1,82,86,2,14.45,47.5,0.0,0.5,0.0,2.16,,0.3,50.46,2,1,,green_tripdata_2017-11.parquet
2,2017-11-11 17:08:22,2017-11-12 16:18:37,N,1,82,201,2,15.35,44.5,0.0,0.5,0.0,2.16,,0.3,47.46,2,1,,green_tripdata_2017-11.parquet
2,2017-03-23 12:45:16,2017-03-23 13:11:01,N,1,82,192,2,3.56,18.0,0.0,0.5,0.0,1.0,,0.3,19.8,2,1,,green_tripdata_2017-03.parquet
1,2017-05-04 14:41:13,2017-05-04 15:02:45,N,1,82,252,2,5.5,18.0,0.0,0.5,0.0,1.0,,0.3,19.8,2,1,,green_tripdata_2017-05.parquet
1,2017-10-20 12:35:28,2017-10-20 12:53:41,N,1,82,198,2,5.7,19.5,0.0,0.5,0.0,1.0,,0.3,21.3,2,1,,green_tripdata_2017-10.parquet
1,2017-10-21 15:05:23,2017-10-21 15:13:15,N,1,82,83,2,1.4,7.5,0.0,0.5,0.0,1.0,,0.3,9.3,2,1,,green_tripdata_2017-10.parquet
1,2017-10-29 17:17:13,2017-10-29 17:29:51,N,1,82,82,2,1.6,9.0,0.0,0.5,0.0,1.0,,0.3,10.8,2,1,,green_tripdata_2017-10.parquet
1,2017-07-16 19:12:48,2017-07-16 19:19:47,N,1,82,95,2,2.3,8.5,0.0,0.5,0.0,1.0,,0.3,10.3,2,1,,green_tripdata_2017-07.parquet
1,2017-07-16 19:47:28,2017-07-16 19:56:16,N,1,82,95,2,2.5,10.0,0.0,0.5,0.0,1.0,,0.3,11.8,2,1,,green_tripdata_2017-07.parquet
1,2017-07-17 15:21:36,2017-07-17 15:28:05,N,1,82,95,2,1.6,7.5,0.0,0.5,0.0,1.0,,0.3,9.3,2,1,,green_tripdata_2017-07.parquet
1,2017-07-20 14:49:16,2017-07-20 14:56:26,N,1,82,173,2,1.2,6.5,0.0,0.5,0.0,1.0,,0.3,8.3,2,1,,green_tripdata_2017-07.parquet
1,2017-07-20 15:05:12,2017-07-20 15:12:49,N,1,82,95,2,1.2,7.0,0.0,0.5,0.0,1.0,,0.3,8.8,2,1,,green_tripdata_2017-07.parquet
1,2017-07-28 14:05:53,2017-07-28 14:15:53,N,1,82,129,2,1.3,8.0,0.0,0.5,0.0,1.0,,0.3,9.8,2,1,,green_tripdata_2017-07.parquet
1,2017-07-28 15:11:15,2017-07-28 15:27:01,N,1,82,129,2,2.1,11.5,0.0,0.5,0.0,1.0,,0.3,13.3,2,1,,green_tripdata_2017-07.parquet
1,2017-07-29 17:59:16,2017-07-29 18:13:04,N,1,82,173,2,1.6,10.5,0.0,0.5,0.0,1.0,,0.3,12.3,2,1,,green_tripdata_2017-07.parquet
1,2017-12-08 14:07:20,2017-12-08 14:14:23,N,1,82,157,2,2.3,9.0,0.0,0.5,0.0,1.0,,0.3,10.8,2,1,,green_tripdata_2017-12.parquet
1,2017-12-15 12:43:50,2017-12-15 13:07:05,N,1,82,37,2,4.9,19.0,0.0,0.5,0.0,1.0,,0.3,20.8,2,1,,green_tripdata_2017-12.parquet
1,2017-12-16 15:20:10,2017-12-16 15:33:24,N,1,82,56,2,1.5,9.5,0.0,0.5,0.0,1.0,,0.3,11.3,2,1,,green_tripdata_2017-12.parquet
1,2017-09-02 16:46:08,2017-09-02 17:01:19,N,1,82,57,2,1.7,11.5,0.0,0.5,0.0,1.0,,0.3,13.3,2,1,,green_tripdata_2017-09.parquet
1,2017-09-03 16:56:48,2017-09-03 17:19:13,N,1,82,179,2,4.9,20.0,0.0,0.5,0.0,1.0,,0.3,21.8,2,1,,green_tripdata_2017-09.parquet
1,2017-09-08 15:40:07,2017-09-08 15:55:17,N,1,82,160,2,1.1,10.5,0.0,0.5,0.0,1.0,,0.3,12.3,2,1,,green_tripdata_2017-09.parquet
1,2017-11-04 17:07:53,2017-11-04 17:18:24,N,1,82,56,2,1.4,8.5,0.0,0.5,0.0,1.0,,0.3,10.3,2,1,,green_tripdata_2017-11.parquet
1,2017-11-04 18:43:35,2017-11-04 19:03:10,N,1,82,73,2,5.3,18.5,0.0,0.5,0.0,1.0,,0.3,20.3,2,1,,green_tripdata_2017-11.parquet
1,2017-11-12 17:15:09,2017-11-12 17:29:19,N,1,82,226,2,2.7,12.5,0.0,0.5,0.0,1.0,,0.3,14.3,2,1,,green_tripdata_2017-11.parquet
1,2017-11-18 19:21:46,2017-11-18 19:36:48,N,1,82,36,2,4.1,14.5,0.0,0.5,0.0,1.0,,0.3,16.3,2,1,,green_tripdata_2017-11.parquet
1,2017-11-19 16:06:55,2017-11-19 16:17:42,N,1,82,82,2,0.7,8.0,0.0,0.5,0.0,1.0,,0.3,9.8,2,1,,green_tripdata_2017-11.parquet
1,2017-11-19 17:44:16,2017-11-19 17:56:01,N,1,82,260,2,1.9,10.0,0.0,0.5,0.0,1.0,,0.3,11.8,2,1,,green_tripdata_2017-11.parquet
1,2017-11-24 14:02:25,2017-11-24 14:15:45,N,1,82,260,2,1.9,11.0,0.0,0.5,0.0,1.0,,0.3,12.8,2,1,,green_tripdata_2017-11.parquet
2,2017-03-04 17:44:56,2017-03-04 17:55:01,N,1,243,220,2,3.81,13.5,0.0,0.5,0.0,2.54,,0.3,16.84,2,1,,green_tripdata_2017-03.parquet
1,2017-03-12 07:23:00,2017-03-12 07:30:27,N,1,152,220,2,5.0,15.0,0.0,0.5,0.0,2.54,,0.3,18.34,2,1,,green_tripdata_2017-03.parquet
2,2017-01-24 11:04:31,2017-01-24 11:14:40,N,1,244,220,2,4.64,14.5,0.0,0.5,0.0,2.54,,0.3,17.84,2,1,,green_tripdata_2017-01.parquet
2,2017-01-25 12:14:04,2017-01-25 12:25:08,N,1,244,220,2,3.87,13.5,0.0,0.5,0.0,2.54,,0.3,16.84,2,1,,green_tripdata_2017-01.parquet
2,2017-01-02 15:04:41,2017-01-02 15:15:22,N,1,152,220,2,5.73,17.0,0.0,0.5,0.0,2.54,,0.3,20.34,2,1,,green_tripdata_2017-01.parquet
2,2017-01-11 15:56:44,2017-01-11 16:23:11,N,1,166,220,2,6.94,24.5,0.0,0.5,0.0,2.54,,0.3,27.84,2,1,,green_tripdata_2017-01.parquet
2,2017-02-03 09:32:49,2017-02-03 09:49:21,N,1,166,220,2,6.9,22.5,0.0,0.5,0.0,2.54,,0.3,25.84,2,1,,green_tripdata_2017-02.parquet
2,2017-02-16 09:10:37,2017-02-16 09:29:14,N,1,166,220,2,6.45,22.0,0.0,0.5,0.0,2.54,,0.3,25.34,2,1,,green_tripdata_2017-02.parquet
2,2017-02-18 14:55:57,2017-02-18 15:07:41,N,1,243,220,2,4.05,14.0,0.0,0.5,0.0,2.54,,0.3,17.34,2,1,,green_tripdata_2017-02.parquet
1,2017-02-20 07:23:37,2017-02-20 07:30:34,N,1,152,220,2,5.2,15.5,0.0,0.5,0.0,2.54,,0.3,18.84,2,1,,green_tripdata_2017-02.parquet
1,2017-02-27 07:25:02,2017-02-27 07:35:03,N,1,152,220,2,5.5,17.0,0.0,0.5,0.0,2.54,,0.3,20.34,2,1,,green_tripdata_2017-02.parquet
2,2017-02-07 13:55:02,2017-02-07 14:04:07,N,1,244,220,2,3.62,12.5,0.0,0.5,0.0,2.54,,0.3,15.84,2,1,,green_tripdata_2017-02.parquet
2,2017-02-08 15:46:36,2017-02-08 15:55:23,N,1,244,220,2,4.03,13.0,0.0,0.5,0.0,2.54,,0.3,16.34,2,1,,green_tripdata_2017-02.parquet
2,2017-02-20 19:10:41,2017-02-20 19:22:20,N,1,244,220,2,4.55,14.5,0.0,0.5,0.0,2.54,,0.3,17.84,2,1,,green_tripdata_2017-02.parquet
2,2017-02-25 14:51:31,2017-02-25 14:59:51,N,1,244,220,2,3.94,13.0,0.0,0.5,0.0,2.54,,0.3,16.34,2,1,,green_tripdata_2017-02.parquet
2,2017-03-17 15:15:24,2017-03-17 15:26:18,N,1,244,200,2,4.85,15.5,0.0,0.5,0.0,2.54,,0.3,18.84,2,1,,green_tripdata_2017-03.parquet
1,2017-01-08 16:13:26,2017-01-08 16:31:41,N,1,41,200,2,8.4,25.0,0.0,0.5,0.0,2.54,,0.3,28.34,2,1,,green_tripdata_2017-01.parquet
2,2017-01-10 09:06:19,2017-01-10 09:12:01,N,1,127,200,2,2.02,8.0,0.0,0.5,0.0,2.54,,0.3,11.34,2,1,,green_tripdata_2017-01.parquet
